DATE,DEXUSDCAD
1/3/2000,1.4465
1/4/2000,1.4518
1/5/2000,1.4518
1/6/2000,1.4571
1/7/2000,1.4505
1/10/2000,1.4568
1/11/2000,1.457
1/12/2000,1.455
1/13/2000,1.4495
1/14/2000,1.4497
1/17/2000,.
1/18/2000,1.4502
1/19/2000,1.4527
1/20/2000,1.4484
1/21/2000,1.442
1/24/2000,1.44
1/25/2000,1.4389
1/26/2000,1.4379
1/27/2000,1.435
1/28/2000,1.4495
1/31/2000,1.4517
2/1/2000,1.4468
2/2/2000,1.4435
2/3/2000,1.4417
2/4/2000,1.4467
2/7/2000,1.4457
2/8/2000,1.4473
2/9/2000,1.4443
2/10/2000,1.45
2/11/2000,1.4515
2/14/2000,1.4547
2/15/2000,1.4585
2/16/2000,1.452
2/17/2000,1.4522
2/18/2000,1.4512
2/21/2000,.
2/22/2000,1.4595
2/23/2000,1.4651
2/24/2000,1.4587
2/25/2000,1.4505
2/28/2000,1.4538
2/29/2000,1.4505
3/1/2000,1.447
3/2/2000,1.4543
3/3/2000,1.451
3/6/2000,1.4555
3/7/2000,1.4527
3/8/2000,1.4592
3/9/2000,1.457
3/10/2000,1.4575
3/13/2000,1.4614
3/14/2000,1.4632
3/15/2000,1.468
3/16/2000,1.4724
3/17/2000,1.4728
3/20/2000,1.4703
3/21/2000,1.4662
3/22/2000,1.472
3/23/2000,1.4727
3/24/2000,1.465
3/27/2000,1.4605
3/28/2000,1.4541
3/29/2000,1.4555
3/30/2000,1.4557
3/31/2000,1.4538
4/3/2000,1.4548
4/4/2000,1.4531
4/5/2000,1.4548
4/6/2000,1.4515
4/7/2000,1.4574
4/10/2000,1.4615
4/11/2000,1.4635
4/12/2000,1.4623
4/13/2000,1.4661
4/14/2000,1.4767
4/17/2000,1.4855
4/18/2000,1.4837
4/19/2000,1.4761
4/20/2000,1.4725
4/21/2000,1.475
4/24/2000,1.4763
4/25/2000,1.4699
4/26/2000,1.4758
4/27/2000,1.4792
4/28/2000,1.4818
5/1/2000,1.4783
5/2/2000,1.4857
5/3/2000,1.4923
5/4/2000,1.498
5/5/2000,1.498
5/8/2000,1.4927
5/9/2000,1.4945
5/10/2000,1.4955
5/11/2000,1.49
5/12/2000,1.4872
5/15/2000,1.4897
5/16/2000,1.4862
5/17/2000,1.4992
5/18/2000,1.5007
5/19/2000,1.4963
5/22/2000,1.4983
5/23/2000,1.5036
5/24/2000,1.5085
5/25/2000,1.5057
5/26/2000,1.5045
5/29/2000,.
5/30/2000,1.5036
5/31/2000,1.4977
6/1/2000,1.491
6/2/2000,1.4785
6/5/2000,1.4779
6/6/2000,1.478
6/7/2000,1.4785
6/8/2000,1.48
6/9/2000,1.4765
6/12/2000,1.4765
6/13/2000,1.4697
6/14/2000,1.4695
6/15/2000,1.4758
6/16/2000,1.4708
6/19/2000,1.4657
6/20/2000,1.4708
6/21/2000,1.4729
6/22/2000,1.4725
6/23/2000,1.4793
6/26/2000,1.483
6/27/2000,1.4825
6/28/2000,1.4838
6/29/2000,1.482
6/30/2000,1.4798
7/3/2000,1.4793
7/4/2000,.
7/5/2000,1.4909
7/6/2000,1.485
7/7/2000,1.481
7/10/2000,1.4798
7/11/2000,1.4785
7/12/2000,1.4815
7/13/2000,1.4809
7/14/2000,1.4845
7/17/2000,1.4813
7/18/2000,1.4783
7/19/2000,1.4758
7/20/2000,1.4748
7/21/2000,1.4715
7/24/2000,1.4639
7/25/2000,1.4653
7/26/2000,1.4665
7/27/2000,1.4713
7/28/2000,1.4776
7/31/2000,1.488
8/1/2000,1.4892
8/2/2000,1.4813
8/3/2000,1.4844
8/4/2000,1.4889
8/7/2000,1.4875
8/8/2000,1.4889
8/9/2000,1.4848
8/10/2000,1.4826
8/11/2000,1.4839
8/14/2000,1.4847
8/15/2000,1.487
8/16/2000,1.4774
8/17/2000,1.4759
8/18/2000,1.4747
8/21/2000,1.4765
8/22/2000,1.4756
8/23/2000,1.4877
8/24/2000,1.4871
8/25/2000,1.4828
8/28/2000,1.4845
8/29/2000,1.4868
8/30/2000,1.4805
8/31/2000,1.472
9/1/2000,1.4742
9/4/2000,.
9/5/2000,1.4752
9/6/2000,1.4843
9/7/2000,1.4777
9/8/2000,1.4781
9/11/2000,1.48
9/12/2000,1.4825
9/13/2000,1.4838
9/14/2000,1.4869
9/15/2000,1.4844
9/18/2000,1.4905
9/19/2000,1.488
9/20/2000,1.4833
9/21/2000,1.4873
9/22/2000,1.4892
9/25/2000,1.489
9/26/2000,1.488
9/27/2000,1.4962
9/28/2000,1.503
9/29/2000,1.507
10/2/2000,1.5108
10/3/2000,1.506
10/4/2000,1.499
10/5/2000,1.4954
10/6/2000,1.5013
10/9/2000,.
10/10/2000,1.5014
10/11/2000,1.5043
10/12/2000,1.5085
10/13/2000,1.5135
10/16/2000,1.5195
10/17/2000,1.5184
10/18/2000,1.52
10/19/2000,1.5112
10/20/2000,1.5119
10/23/2000,1.508
10/24/2000,1.5118
10/25/2000,1.5164
10/26/2000,1.5187
10/27/2000,1.5275
10/30/2000,1.5311
10/31/2000,1.5273
11/1/2000,1.5263
11/2/2000,1.5333
11/3/2000,1.5348
11/6/2000,1.5305
11/7/2000,1.5315
11/8/2000,1.5432
11/9/2000,1.5455
11/10/2000,1.546
11/13/2000,1.5472
11/14/2000,1.5445
11/15/2000,1.551
11/16/2000,1.5523
11/17/2000,1.56
11/20/2000,1.5592
11/21/2000,1.5553
11/22/2000,1.5473
11/23/2000,.
11/24/2000,1.5396
11/27/2000,1.5348
11/28/2000,1.5371
11/29/2000,1.5405
11/30/2000,1.5355
12/1/2000,1.5389
12/4/2000,1.5458
12/5/2000,1.5438
12/6/2000,1.5323
12/7/2000,1.5223
12/8/2000,1.5205
12/11/2000,1.5227
12/12/2000,1.5249
12/13/2000,1.5205
12/14/2000,1.5165
12/15/2000,1.5174
12/18/2000,1.5254
12/19/2000,1.522
12/20/2000,1.5215
12/21/2000,1.5185
12/22/2000,1.5168
12/25/2000,.
12/26/2000,1.5099
12/27/2000,1.511
12/28/2000,1.5073
12/29/2000,1.4995
1/1/2001,.
1/2/2001,1.4963
1/3/2001,1.4982
1/4/2001,1.4985
1/5/2001,1.5003
1/8/2001,1.4944
1/9/2001,1.4973
1/10/2001,1.4993
1/11/2001,1.4978
1/12/2001,1.4967
1/15/2001,.
1/16/2001,1.5037
1/17/2001,1.5123
1/18/2001,1.5162
1/19/2001,1.5155
1/22/2001,1.5072
1/23/2001,1.5073
1/24/2001,1.5126
1/25/2001,1.508
1/26/2001,1.5066
1/29/2001,1.501
1/30/2001,1.4985
1/31/2001,1.4995
2/1/2001,1.4948
2/2/2001,1.4933
2/5/2001,1.505
2/6/2001,1.508
2/7/2001,1.511
2/8/2001,1.5117
2/9/2001,1.509
2/12/2001,1.5205
2/13/2001,1.5214
2/14/2001,1.5287
2/15/2001,1.5275
2/16/2001,1.5368
2/19/2001,.
2/20/2001,1.5399
2/21/2001,1.537
2/22/2001,1.5378
2/23/2001,1.5378
2/26/2001,1.5314
2/27/2001,1.5261
2/28/2001,1.532
3/1/2001,1.5465
3/2/2001,1.5489
3/5/2001,1.5475
3/6/2001,1.5388
3/7/2001,1.5492
3/8/2001,1.5497
3/9/2001,1.548
3/12/2001,1.5505
3/13/2001,1.5477
3/14/2001,1.5528
3/15/2001,1.5595
3/16/2001,1.5669
3/19/2001,1.5698
3/20/2001,1.5611
3/21/2001,1.573
3/22/2001,1.5742
3/23/2001,1.5667
3/26/2001,1.5545
3/27/2001,1.5693
3/28/2001,1.5668
3/29/2001,1.5725
3/30/2001,1.5784
4/2/2001,1.575
4/3/2001,1.579
4/4/2001,1.5697
4/5/2001,1.5788
4/6/2001,1.5615
4/9/2001,1.5635
4/10/2001,1.5555
4/11/2001,1.5626
4/12/2001,1.56
4/13/2001,1.5627
4/16/2001,1.5625
4/17/2001,1.5575
4/18/2001,1.5692
4/19/2001,1.547
4/20/2001,1.5425
4/23/2001,1.546
4/24/2001,1.549
4/25/2001,1.5474
4/26/2001,1.546
4/27/2001,1.5417
4/30/2001,1.536
5/1/2001,1.5338
5/2/2001,1.531
5/3/2001,1.533
5/4/2001,1.5353
5/7/2001,1.5405
5/8/2001,1.5445
5/9/2001,1.5407
5/10/2001,1.5391
5/11/2001,1.5503
5/14/2001,1.5541
5/15/2001,1.5493
5/16/2001,1.5405
5/17/2001,1.536
5/18/2001,1.5328
5/21/2001,1.5325
5/22/2001,1.5415
5/23/2001,1.5452
5/24/2001,1.5474
5/25/2001,1.5455
5/28/2001,.
5/29/2001,1.5376
5/30/2001,1.5464
5/31/2001,1.5461
6/1/2001,1.5324
6/4/2001,1.5347
6/5/2001,1.5328
6/6/2001,1.5248
6/7/2001,1.521
6/8/2001,1.5215
6/11/2001,1.5162
6/12/2001,1.5246
6/13/2001,1.5183
6/14/2001,1.5208
6/15/2001,1.522
6/18/2001,1.5336
6/19/2001,1.5337
6/20/2001,1.531
6/21/2001,1.5265
6/22/2001,1.5293
6/25/2001,1.5195
6/26/2001,1.5142
6/27/2001,1.5176
6/28/2001,1.5233
6/29/2001,1.5175
7/2/2001,1.5153
7/3/2001,1.5128
7/4/2001,.
7/5/2001,1.5102
7/6/2001,1.52
7/9/2001,1.5203
7/10/2001,1.5213
7/11/2001,1.5255
7/12/2001,1.528
7/13/2001,1.5398
7/16/2001,1.54
7/17/2001,1.54
7/18/2001,1.535
7/19/2001,1.5418
7/20/2001,1.545
7/23/2001,1.545
7/24/2001,1.5383
7/25/2001,1.5381
7/26/2001,1.5335
7/27/2001,1.5352
7/30/2001,1.5305
7/31/2001,1.531
8/1/2001,1.5358
8/2/2001,1.5417
8/3/2001,1.5356
8/6/2001,1.5275
8/7/2001,1.5343
8/8/2001,1.5333
8/9/2001,1.5395
8/10/2001,1.5405
8/13/2001,1.539
8/14/2001,1.5413
8/15/2001,1.529
8/16/2001,1.5314
8/17/2001,1.5428
8/20/2001,1.5461
8/21/2001,1.549
8/22/2001,1.5438
8/23/2001,1.5423
8/24/2001,1.5414
8/27/2001,1.5423
8/28/2001,1.5401
8/29/2001,1.5462
8/30/2001,1.546
8/31/2001,1.5478
9/3/2001,.
9/4/2001,1.5535
9/5/2001,1.5603
9/6/2001,1.559
9/7/2001,1.568
9/10/2001,1.5656
9/11/2001,.
9/12/2001,1.561
9/13/2001,1.5681
9/14/2001,1.5641
9/17/2001,1.5686
9/18/2001,1.5708
9/19/2001,1.5711
9/20/2001,1.5708
9/21/2001,1.5707
9/24/2001,1.5686
9/25/2001,1.5705
9/26/2001,1.5734
9/27/2001,1.5791
9/28/2001,1.5797
10/1/2001,1.5794
10/2/2001,1.5696
10/3/2001,1.5688
10/4/2001,1.568
10/5/2001,1.5626
10/8/2001,.
10/9/2001,1.5638
10/10/2001,1.5679
10/11/2001,1.568
10/12/2001,1.5659
10/15/2001,1.5582
10/16/2001,1.5621
10/17/2001,1.5687
10/18/2001,1.5763
10/19/2001,1.5756
10/22/2001,1.5787
10/23/2001,1.5723
10/24/2001,1.5745
10/25/2001,1.5775
10/26/2001,1.575
10/29/2001,1.575
10/30/2001,1.5785
10/31/2001,1.5905
11/1/2001,1.5913
11/2/2001,1.5925
11/5/2001,1.5958
11/6/2001,1.5938
11/7/2001,1.5935
11/8/2001,1.598
11/9/2001,1.6023
11/12/2001,.
11/13/2001,1.5982
11/14/2001,1.5923
11/15/2001,1.587
11/16/2001,1.587
11/19/2001,1.5849
11/20/2001,1.5933
11/21/2001,1.6018
11/22/2001,.
11/23/2001,1.5981
11/26/2001,1.6005
11/27/2001,1.5948
11/28/2001,1.5853
11/29/2001,1.5828
11/30/2001,1.5717
12/3/2001,1.5762
12/4/2001,1.5729
12/5/2001,1.5716
12/6/2001,1.5767
12/7/2001,1.5725
12/10/2001,1.5787
12/11/2001,1.5781
12/12/2001,1.5654
12/13/2001,1.5675
12/14/2001,1.5635
12/17/2001,1.5646
12/18/2001,1.5729
12/19/2001,1.5743
12/20/2001,1.5782
12/21/2001,1.585
12/24/2001,1.5945
12/25/2001,.
12/26/2001,1.599
12/27/2001,1.5954
12/28/2001,1.5956
12/31/2001,1.5925
1/1/2002,.
1/2/2002,1.5974
1/3/2002,1.597
1/4/2002,1.5977
1/7/2002,1.5981
1/8/2002,1.5949
1/9/2002,1.5965
1/10/2002,1.6012
1/11/2002,1.5975
1/14/2002,1.5974
1/15/2002,1.5899
1/16/2002,1.5945
1/17/2002,1.611
1/18/2002,1.6128
1/21/2002,.
1/22/2002,1.6084
1/23/2002,1.604
1/24/2002,1.602
1/25/2002,1.6083
1/28/2002,1.6126
1/29/2002,1.5903
1/30/2002,1.591
1/31/2002,1.5915
2/1/2002,1.5908
2/4/2002,1.5919
2/5/2002,1.5985
2/6/2002,1.6042
2/7/2002,1.6037
2/8/2002,1.597
2/11/2002,1.5895
2/12/2002,1.5919
2/13/2002,1.591
2/14/2002,1.5919
2/15/2002,1.5908
2/18/2002,.
2/19/2002,1.5885
2/20/2002,1.5905
2/21/2002,1.5914
2/22/2002,1.5945
2/25/2002,1.601
2/26/2002,1.6112
2/27/2002,1.6084
2/28/2002,1.6049
3/1/2002,1.5955
3/4/2002,1.59
3/5/2002,1.5905
3/6/2002,1.5835
3/7/2002,1.5823
3/8/2002,1.5857
3/11/2002,1.5843
3/12/2002,1.5858
3/13/2002,1.5935
3/14/2002,1.5943
3/15/2002,1.5863
3/18/2002,1.588
3/19/2002,1.5842
3/20/2002,1.5793
3/21/2002,1.5808
3/22/2002,1.5767
3/25/2002,1.5858
3/26/2002,1.5925
3/27/2002,1.5938
3/28/2002,1.594
3/29/2002,1.5958
4/1/2002,1.5995
4/2/2002,1.5934
4/3/2002,1.589
4/4/2002,1.593
4/5/2002,1.59
4/8/2002,1.5941
4/9/2002,1.5964
4/10/2002,1.593
4/11/2002,1.5879
4/12/2002,1.5879
4/15/2002,1.5892
4/16/2002,1.5798
4/17/2002,1.5745
4/18/2002,1.5747
4/19/2002,1.5723
4/22/2002,1.573
4/23/2002,1.5753
4/24/2002,1.5685
4/25/2002,1.5636
4/26/2002,1.5632
4/29/2002,1.5663
4/30/2002,1.5681
5/1/2002,1.5579
5/2/2002,1.5621
5/3/2002,1.565
5/6/2002,1.5685
5/7/2002,1.5705
5/8/2002,1.5708
5/9/2002,1.5687
5/10/2002,1.5575
5/13/2002,1.5585
5/14/2002,1.559
5/15/2002,1.5563
5/16/2002,1.555
5/17/2002,1.542
5/20/2002,1.5415
5/21/2002,1.5387
5/22/2002,1.5361
5/23/2002,1.5338
5/24/2002,1.535
5/27/2002,.
5/28/2002,1.5305
5/29/2002,1.5345
5/30/2002,1.534
5/31/2002,1.5275
6/3/2002,1.5282
6/4/2002,1.5284
6/5/2002,1.535
6/6/2002,1.5325
6/7/2002,1.5321
6/10/2002,1.5385
6/11/2002,1.5383
6/12/2002,1.5365
6/13/2002,1.5398
6/14/2002,1.5499
6/17/2002,1.5474
6/18/2002,1.5443
6/19/2002,1.5415
6/20/2002,1.5319
6/21/2002,1.5232
6/24/2002,1.5166
6/25/2002,1.5218
6/26/2002,1.5211
6/27/2002,1.5108
6/28/2002,1.519
7/1/2002,1.519
7/2/2002,1.5263
7/3/2002,1.529
7/4/2002,.
7/5/2002,1.5247
7/8/2002,1.5208
7/9/2002,1.5145
7/10/2002,1.5203
7/11/2002,1.5223
7/12/2002,1.5299
7/15/2002,1.5365
7/16/2002,1.5347
7/17/2002,1.5399
7/18/2002,1.544
7/19/2002,1.5386
7/22/2002,1.5562
7/23/2002,1.5779
7/24/2002,1.5765
7/25/2002,1.5725
7/26/2002,1.588
7/29/2002,1.5725
7/30/2002,1.5735
7/31/2002,1.5845
8/1/2002,1.5867
8/2/2002,1.5885
8/5/2002,1.5963
8/6/2002,1.5935
8/7/2002,1.5807
8/8/2002,1.5818
8/9/2002,1.5725
8/12/2002,1.5739
8/13/2002,1.5658
8/14/2002,1.5657
8/15/2002,1.5583
8/16/2002,1.5609
8/19/2002,1.5715
