DATE,DEXUSDGBP
1/3/2000,1.627
1/4/2000,1.637
1/5/2000,1.6415
1/6/2000,1.6475
1/7/2000,1.6384
1/10/2000,1.6374
1/11/2000,1.648
1/12/2000,1.6465
1/13/2000,1.6482
1/14/2000,1.6353
1/17/2000,.
1/18/2000,1.638
1/19/2000,1.6438
1/20/2000,1.6538
1/21/2000,1.6504
1/24/2000,1.652
1/25/2000,1.6482
1/26/2000,1.6395
1/27/2000,1.6363
1/28/2000,1.621
1/31/2000,1.6182
2/1/2000,1.615
2/2/2000,1.606
2/3/2000,1.6025
2/4/2000,1.5915
2/7/2000,1.5917
2/8/2000,1.6105
2/9/2000,1.6115
2/10/2000,1.6057
2/11/2000,1.5923
2/14/2000,1.589
2/15/2000,1.595
2/16/2000,1.604
2/17/2000,1.605
2/18/2000,1.5984
2/21/2000,.
2/22/2000,1.6165
2/23/2000,1.6047
2/24/2000,1.5981
2/25/2000,1.5908
2/28/2000,1.5935
2/29/2000,1.578
3/1/2000,1.5849
3/2/2000,1.5765
3/3/2000,1.581
3/6/2000,1.5732
3/7/2000,1.5772
3/8/2000,1.5855
3/9/2000,1.5815
3/10/2000,1.5793
3/13/2000,1.5782
3/14/2000,1.5725
3/15/2000,1.573
3/16/2000,1.5747
3/17/2000,1.5705
3/20/2000,1.5686
3/21/2000,1.5725
3/22/2000,1.5705
3/23/2000,1.583
3/24/2000,1.591
3/27/2000,1.5855
3/28/2000,1.5872
3/29/2000,1.587
3/30/2000,1.5922
3/31/2000,1.5922
4/3/2000,1.598
4/4/2000,1.5965
4/5/2000,1.59
4/6/2000,1.58
4/7/2000,1.583
4/10/2000,1.5828
4/11/2000,1.5873
4/12/2000,1.5882
4/13/2000,1.5881
4/14/2000,1.586
4/17/2000,1.5853
4/18/2000,1.5764
4/19/2000,1.5777
4/20/2000,1.5801
4/21/2000,1.5785
4/24/2000,1.58
4/25/2000,1.5787
4/26/2000,1.5795
4/27/2000,1.5748
4/28/2000,1.556
5/1/2000,1.5558
5/2/2000,1.559
5/3/2000,1.5605
5/4/2000,1.5435
5/5/2000,1.5288
5/8/2000,1.531
5/9/2000,1.5315
5/10/2000,1.5153
5/11/2000,1.4997
5/12/2000,1.5172
5/15/2000,1.5075
5/16/2000,1.5008
5/17/2000,1.4905
5/18/2000,1.4818
