DATE,DEXUSDINR
1/3/2000,43.55
1/4/2000,43.55
1/5/2000,43.55
1/6/2000,43.55
1/7/2000,43.55
1/10/2000,43.55
1/11/2000,43.6
1/12/2000,43.6
1/13/2000,43.55
1/14/2000,43.55
1/17/2000,.
1/18/2000,43.6
1/19/2000,43.6
1/20/2000,43.6
1/21/2000,43.6
1/24/2000,43.62
1/25/2000,43.59
1/26/2000,43.65
1/27/2000,43.63
1/28/2000,43.65
1/31/2000,43.65
2/1/2000,43.62
2/2/2000,43.65
2/3/2000,43.65
2/4/2000,43.65
2/7/2000,43.64
2/8/2000,43.63
2/9/2000,43.65
2/10/2000,43.58
2/11/2000,43.65
2/14/2000,43.65
2/15/2000,43.64
2/16/2000,43.75
2/17/2000,43.68
2/18/2000,43.68
2/21/2000,.
2/22/2000,43.65
2/23/2000,43.68
2/24/2000,43.65
2/25/2000,43.65
2/28/2000,43.68
2/29/2000,43.65
3/1/2000,43.63
3/2/2000,43.65
3/3/2000,43.65
3/6/2000,43.63
3/7/2000,43.63
3/8/2000,43.65
3/9/2000,43.63
3/10/2000,43.65
3/13/2000,43.65
3/14/2000,43.64
3/15/2000,43.65
3/16/2000,43.58
3/17/2000,43.65
3/20/2000,43.63
3/21/2000,43.59
3/22/2000,43.65
3/23/2000,43.65
3/24/2000,43.65
3/27/2000,43.62
3/28/2000,43.65
3/29/2000,43.65
3/30/2000,43.65
3/31/2000,43.65
4/3/2000,43.632
4/4/2000,43.65
4/5/2000,43.68
4/6/2000,43.65
4/7/2000,43.67
4/10/2000,43.66
4/11/2000,43.68
4/12/2000,43.7
4/13/2000,43.7
4/14/2000,43.75
4/17/2000,43.68
4/18/2000,43.7
4/19/2000,43.7
4/20/2000,43.687
4/21/2000,43.7
4/24/2000,43.655
4/25/2000,43.7
4/26/2000,43.7
4/27/2000,43.7
4/28/2000,43.7
5/1/2000,43.67
5/2/2000,43.75
5/3/2000,43.73
5/4/2000,43.67
5/5/2000,43.7
5/8/2000,43.7
5/9/2000,43.7
5/10/2000,44.3
5/11/2000,44.44
5/12/2000,44.15
5/15/2000,44.44
5/16/2000,44.05
5/17/2000,44.02
5/18/2000,44.03
