DATE,DEXUSDJPY
1/3/2000,101.7
1/4/2000,103.09
1/5/2000,103.77
1/6/2000,105.19
1/7/2000,105.17
1/10/2000,105.28
1/11/2000,106.09
1/12/2000,105.76
1/13/2000,106.09
1/14/2000,105.86
1/17/2000,.
1/18/2000,105.49
1/19/2000,105.39
1/20/2000,105.45
1/21/2000,104.96
1/24/2000,105.52
1/25/2000,105.87
1/26/2000,105.85
1/27/2000,104.91
1/28/2000,107.15
1/31/2000,107.33
2/1/2000,107.67
2/2/2000,108.4
2/3/2000,107.92
2/4/2000,107.54
2/7/2000,108.75
2/8/2000,109.59
2/9/2000,109.11
2/10/2000,108.74
2/11/2000,108.99
2/14/2000,108.65
2/15/2000,108.75
2/16/2000,109.38
2/17/2000,110.27
2/18/2000,110.88
2/21/2000,.
2/22/2000,111.04
2/23/2000,111.11
2/24/2000,110.95
2/25/2000,110.98
2/28/2000,109.17
2/29/2000,109.88
3/1/2000,107.1
3/2/2000,107.37
3/3/2000,107.8
3/6/2000,107.74
3/7/2000,106.2
3/8/2000,106.89
3/9/2000,106.45
3/10/2000,106.27
3/13/2000,105.32
3/14/2000,104.85
3/15/2000,105.58
3/16/2000,105.63
3/17/2000,106.1
3/20/2000,106.5
3/21/2000,106.91
3/22/2000,106.77
3/23/2000,107.45
3/24/2000,107.25
3/27/2000,107.13
3/28/2000,105.9
3/29/2000,105.6
3/30/2000,105.53
3/31/2000,102.73
4/3/2000,104.82
4/4/2000,105.33
4/5/2000,105
4/6/2000,104.78
4/7/2000,105.33
4/10/2000,106.37
4/11/2000,106.95
4/12/2000,105.86
4/13/2000,105.76
4/14/2000,105.12
4/17/2000,104.19
4/18/2000,104.59
4/19/2000,104.94
4/20/2000,105.45
4/21/2000,105.88
4/24/2000,105.66
4/25/2000,105.71
4/26/2000,106.46
4/27/2000,106.36
4/28/2000,107.98
5/1/2000,108.89
5/2/2000,108.63
5/3/2000,109.14
5/4/2000,108.17
5/5/2000,108.53
5/8/2000,109.03
5/9/2000,109.61
