DATE,DEXUSDMXN
1/3/2000,9.4015
1/4/2000,9.457
1/5/2000,9.535
1/6/2000,9.567
1/7/2000,9.52
1/10/2000,9.445
1/11/2000,9.4825
1/12/2000,9.515
1/13/2000,9.51
1/14/2000,9.455
1/17/2000,.
1/18/2000,9.441
1/19/2000,9.418
1/20/2000,9.408
1/21/2000,9.447
1/24/2000,9.485
1/25/2000,9.525
1/26/2000,9.5175
1/27/2000,9.52
1/28/2000,9.581
1/31/2000,9.64
2/1/2000,9.597
2/2/2000,9.575
2/3/2000,9.51
2/4/2000,9.481
2/7/2000,9.436
2/8/2000,9.402
2/9/2000,9.399
2/10/2000,9.4365
2/11/2000,9.423
2/14/2000,9.393
2/15/2000,9.3875
2/16/2000,9.3715
2/17/2000,9.398
2/18/2000,9.354
2/21/2000,.
2/22/2000,9.427
2/23/2000,9.413
2/24/2000,9.382
2/25/2000,9.378
2/28/2000,9.4025
2/29/2000,9.3645
3/1/2000,9.363
3/2/2000,9.341
3/3/2000,9.315
3/6/2000,9.3175
3/7/2000,9.285
3/8/2000,9.272
3/9/2000,9.2925
3/10/2000,9.3175
3/13/2000,9.313
3/14/2000,9.319
3/15/2000,9.337
3/16/2000,9.325
3/17/2000,9.322
3/20/2000,9.321
3/21/2000,9.3
3/22/2000,9.275
3/23/2000,9.2375
3/24/2000,9.1875
3/27/2000,9.1825
3/28/2000,9.184
3/29/2000,9.235
3/30/2000,9.306
3/31/2000,9.2895
4/3/2000,9.29
4/4/2000,9.312
4/5/2000,9.395
4/6/2000,9.364
4/7/2000,9.3222
4/10/2000,9.29
4/11/2000,9.366
4/12/2000,9.397
4/13/2000,9.399
4/14/2000,9.501
4/17/2000,9.4825
4/18/2000,9.437
4/19/2000,9.391
4/20/2000,9.403
4/21/2000,9.4045
4/24/2000,9.4405
4/25/2000,9.405
4/26/2000,9.409
4/27/2000,9.454
4/28/2000,9.411
5/1/2000,9.335
5/2/2000,9.334
5/3/2000,9.3675
5/4/2000,9.3965
5/5/2000,9.48
5/8/2000,9.4825
5/9/2000,9.4875
5/10/2000,9.572
5/11/2000,9.583
5/12/2000,9.5627
5/15/2000,9.576
5/16/2000,9.508
5/17/2000,9.5505
5/18/2000,9.582
5/19/2000,9.627
5/22/2000,9.573
5/23/2000,9.5025
5/24/2000,9.54
5/25/2000,9.5085
5/26/2000,9.53
5/29/2000,.
5/30/2000,9.52
5/31/2000,9.511
6/1/2000,9.49
6/2/2000,9.5575
6/5/2000,9.547
6/6/2000,9.675
6/7/2000,9.784
6/8/2000,9.9
6/9/2000,9.9325
6/12/2000,9.857
6/13/2000,9.788
6/14/2000,9.7875
6/15/2000,9.847
6/16/2000,9.9235
6/19/2000,9.909
6/20/2000,9.879
6/21/2000,9.815
6/22/2000,9.879
6/23/2000,9.975
6/26/2000,10.023
6/27/2000,10.087
6/28/2000,9.9685
6/29/2000,9.888
6/30/2000,9.843
7/3/2000,9.5525
7/4/2000,.
7/5/2000,9.515
7/6/2000,9.557
7/7/2000,9.508
7/10/2000,9.5
7/11/2000,9.439
7/12/2000,9.4815
7/13/2000,9.4375
7/14/2000,9.424
7/17/2000,9.342
7/18/2000,9.3385
7/19/2000,9.415
7/20/2000,9.38
7/21/2000,9.343
7/24/2000,9.329
7/25/2000,9.3585
7/26/2000,9.362
7/27/2000,9.37
7/28/2000,9.364
7/31/2000,9.368
8/1/2000,9.345
8/2/2000,9.345
8/3/2000,9.388
8/4/2000,9.357
8/7/2000,9.337
8/8/2000,9.35
8/9/2000,9.327
8/10/2000,9.322
8/11/2000,9.279
8/14/2000,9.246
8/15/2000,9.24
8/16/2000,9.183
8/17/2000,9.189
8/18/2000,9.25
8/21/2000,9.261
8/22/2000,9.239
8/23/2000,9.2725
8/24/2000,9.244
8/25/2000,9.232
8/28/2000,9.213
8/29/2000,9.2325
8/30/2000,9.214
8/31/2000,9.2
9/1/2000,9.2075
9/4/2000,.
9/5/2000,9.255
9/6/2000,9.318
9/7/2000,9.314
9/8/2000,9.327
9/11/2000,9.2825
9/12/2000,9.251
9/13/2000,9.283
9/14/2000,9.307
9/15/2000,9.361
9/18/2000,9.4225
9/19/2000,9.422
9/20/2000,9.456
9/21/2000,9.436
9/22/2000,9.475
9/25/2000,9.428
9/26/2000,9.4035
9/27/2000,9.4145
9/28/2000,9.426
9/29/2000,9.44
10/2/2000,9.4075
10/3/2000,9.399
10/4/2000,9.44
10/5/2000,9.4575
10/6/2000,9.466
10/9/2000,.
10/10/2000,9.465
10/11/2000,9.48
10/12/2000,9.52
10/13/2000,9.595
10/16/2000,9.548
10/17/2000,9.547
10/18/2000,9.578
10/19/2000,9.545
10/20/2000,9.558
10/23/2000,9.573
10/24/2000,9.571
10/25/2000,9.627
10/26/2000,9.696
10/27/2000,9.635
10/30/2000,9.604
10/31/2000,9.564
11/1/2000,9.581
11/2/2000,9.581
11/3/2000,9.61
11/6/2000,9.64
11/7/2000,9.6475
11/8/2000,9.618
11/9/2000,9.648
11/10/2000,9.605
11/13/2000,9.5705
11/14/2000,9.495
11/15/2000,9.465
11/16/2000,9.497
11/17/2000,9.478
11/20/2000,9.457
11/21/2000,9.414
11/22/2000,9.376
11/23/2000,.
11/24/2000,9.399
11/27/2000,9.371
11/28/2000,9.412
11/29/2000,9.396
11/30/2000,9.41
12/1/2000,9.42
12/4/2000,9.414
12/5/2000,9.375
12/6/2000,9.408
12/7/2000,9.429
12/8/2000,9.399
12/11/2000,9.4465
12/12/2000,9.471
12/13/2000,9.4505
12/14/2000,9.417
12/15/2000,9.409
12/18/2000,9.38
12/19/2000,9.37
12/20/2000,9.435
12/21/2000,9.585
12/22/2000,9.604
12/25/2000,.
12/26/2000,9.53
12/27/2000,9.577
12/28/2000,9.607
12/29/2000,9.618
1/1/2001,.
1/2/2001,9.714
1/3/2001,9.836
1/4/2001,9.698
1/5/2001,9.753
1/8/2001,9.691
1/9/2001,9.746
1/10/2001,9.8145
1/11/2001,9.845
1/12/2001,9.8775
1/15/2001,.
1/16/2001,9.972
1/17/2001,9.88
1/18/2001,9.885
1/19/2001,9.79
1/22/2001,9.785
1/23/2001,9.768
1/24/2001,9.692
1/25/2001,9.687
1/26/2001,9.697
1/29/2001,9.6695
1/30/2001,9.665
1/31/2001,9.679
2/1/2001,9.733
2/2/2001,9.769
2/5/2001,9.78
2/6/2001,9.689
2/7/2001,9.694
2/8/2001,9.657
2/9/2001,9.764
2/12/2001,9.741
2/13/2001,9.704
2/14/2001,9.718
2/15/2001,9.68
2/16/2001,9.703
2/19/2001,.
2/20/2001,9.68
2/21/2001,9.7
2/22/2001,9.735
2/23/2001,9.714
2/26/2001,9.668
2/27/2001,9.684
2/28/2001,9.6925
3/1/2001,9.706
3/2/2001,9.667
3/5/2001,9.639
3/6/2001,9.6385
3/7/2001,9.652
3/8/2001,9.644
3/9/2001,9.671
3/12/2001,9.665
3/13/2001,9.631
3/14/2001,9.571
3/15/2001,9.593
3/16/2001,9.622
3/19/2001,9.573
3/20/2001,9.515
3/21/2001,9.535
3/22/2001,9.585
3/23/2001,9.663
3/26/2001,9.538
3/27/2001,9.516
3/28/2001,9.541
3/29/2001,9.527
3/30/2001,9.485
4/2/2001,9.414
4/3/2001,9.394
4/4/2001,9.4225
4/5/2001,9.3875
4/6/2001,9.405
4/9/2001,9.36
4/10/2001,9.3225
4/11/2001,9.29
4/12/2001,9.313
4/13/2001,9.305
4/16/2001,9.332
4/17/2001,9.287
4/18/2001,9.187
4/19/2001,9.2725
4/20/2001,9.373
